title,company,location,experience_level,url,requirements_and_qualifications,climate_sectors,climate_opportunity_areas,climate_innovation_imperatives,applicable_majors,salary_min,salary_max,salary_type,company_description,skills,due_date,source,scraped_at
Lead Payroll Analyst,Form Energy,"Weirton, WV",Lead/Principal,https://jobs.ashbyhq.com/formenergy/44ffecfa-b4f4-4c60-bae1-5f6a65649291,"The Lead Payroll Analyst will optimize payroll processes, lead system integrations, and provide data analysis and audits. This role requires onsite work in Weirton, WV or Somerville, MA, and involves managing complex time & attendance schedules and variable pay.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Long-Duration Storage,"Business Administration & Management, Finance & Accounting, Industrial & Systems Engineering, Management Science & Engineering, Computer Science",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Payroll Processing, System Optimization, Data Analysis, Strategic Reporting, Time & Attendance Management, Process Enhancement, System Implementation, HR Systems",,Ashby API,2026-02-14T19:19:29.505897
"Senior Director, Process & Manufacturing Engineering, Electrodes",Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/5c3aff50-b515-4604-9f63-63b4bbfa963e,"The candidate should have experience in manufacturing engineering, process development, and scaling up novel technologies. Strong leadership and communication skills are required to lead a multidisciplinary team and drive a culture of excellence and data-driven iteration.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Chemical Engineering, Mechanical Engineering, Materials Science & Engineering, Electrical Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Process Engineering, Manufacturing Engineering, Equipment Development, PFMEA, Electrode Manufacturing, Battery Technology, Scale-Up, Data Analysis, Leadership, Process Optimization",,Ashby API,2026-02-14T19:19:29.505945
"Staff Manufacturing Engineer, Assembly",Form Energy,"Weirton, WV",Associate,https://jobs.ashbyhq.com/formenergy/de3c0b87-8ffe-4f88-99c0-7d9006008339,"The candidate should have experience in manufacturing engineering, particularly in battery cell assembly. They will be responsible for all functional aspects of the battery cell assembly manufacturing ecosystem, including DFM, equipment and process development, and root cause investigation.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Long-Duration Storage,"Engineering: Mechanical Engineering, Engineering: Chemical Engineering, Engineering: Industrial & Systems Engineering, Materials Science & Engineering, Energy/Climate: Energy Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Manufacturing Engineering, Battery Assembly, DFM, Root Cause Analysis, Process Development, Equipment Selection, Supply Chain, Operations, Safety",,Ashby API,2026-02-14T19:19:29.505984
Staff Manufacturing Engineer,Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/ccdf033c-1466-4fdf-a045-51f6fba6d056,"The role requires a manufacturing engineer with deep automation expertise and strong process development fundamentals. They should be able to own automated equipment from concept through commissioning and ramp, drive technical decision-making across multiple domains, and ensure processes are designed for capability, yield, and long-term stability.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Electrical Engineering, Chemical Engineering, Industrial & Systems Engineering, Materials Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Automation, Process Development, Statistical Analysis, DOE, Manufacturing Systems, Mechanical Engineering, Electrical Engineering, Controls Engineering, Vision Systems, Safety Systems",,Ashby API,2026-02-14T19:19:29.506034
"Senior Mechanical Engineer, Plastics Design",Form Energy,"Berkeley, CA",Senior,https://jobs.ashbyhq.com/formenergy/334b047a-b637-4f0c-99d1-fb644b5c5567,"The Senior Mechanical Engineer role requires expertise in designing plastic components for battery cells, particularly with injection molding. Experience in test plan development, validation testing, and plastic joining methods is necessary.","Electricity, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Materials Science & Engineering, Chemical Engineering, Engineering Physics, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day battery technology designed to keep the electric grid secure and reliable.","Injection Molding, Blow Molding, Thermoforming, Plastic Joining, DFM, DOE, CAD, GD&T",,Ashby API,2026-02-14T19:19:29.506074
"Director, Federal Affairs",Form Energy,"Washington, DC",Executive,https://jobs.ashbyhq.com/formenergy/fc217a9b-c5c2-4ea7-b4e9-9087740df3b1,"The Director of Federal Affairs will develop and execute federal affairs strategies, build and maintain relationships with government agencies and Congress, and manage external lobbyists and consultants. They will oversee policy-related budget planning and federal grant engagement. Strong communication, strategic thinking, and experience in federal policy are required.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Public Policy & Administration, Political Science & International Relations, Business Administration & Management, Environmental Studies & Policy, Economics",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Federal Affairs, Policy Development, Government Relations, Stakeholder Engagement, Budget Planning, Grant Management, Strategic Planning, Communication, Leadership",,Ashby API,2026-02-14T19:19:29.506112
"Staff Mechanical Design Engineer, Fluid Systems",Form Energy,"Berkeley, CA",Senior,https://jobs.ashbyhq.com/formenergy/5f10699f-0584-4c81-a169-a67e80e65494,"The candidate should have experience in the design of fluid systems, including pumps, piping, and heat exchangers. Knowledge of design for manufacturing and experience with prototyping are also important.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Electrical Engineering, Energy Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Mechanical Design, Fluid Systems, Prototyping, DFM, CAD, System Modeling, Cross-functional Collaboration, Vendor Engagement, Design Validation",,Ashby API,2026-02-14T19:19:29.506162
"Staff Manufacturing Engineer, Cathode",Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/08a2c30e-d308-489a-a313-fc7542a7b20a,"The candidate should have experience designing, deploying, and scaling automation solutions across first-of-kind manufacturing equipment, with expertise in integrating new technologies. They should be capable of partnering with process, equipment, and operations teams to drive requirements for automation and ensure seamless integration with manufacturing systems.","Electricity, Manufacturing, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Electrical Engineering, Chemical Engineering, Materials Science & Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day battery technology.","Automation, Manufacturing Systems, Process Engineering, Commissioning, Qualification, Scalability, Equipment Design, Integration",,Ashby API,2026-02-14T19:19:29.506200
"Senior Equipment Engineer, Heated Systems",Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/cc44f7e1-530e-4e17-8558-90e7ee6d9d0e,"The role requires hands-on experience in machine design with a strong thermal analysis background. Experience with CAD software, 3D modeling, and detailed engineering drawings is essential.","Electricity, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Electrical Engineering, Energy Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Thermal Analysis, Machine Design, CAD, 3D Modeling, Heat Transfer, Engineering Drawings, Fabrication, Testing",,Ashby API,2026-02-14T19:19:29.506239
Failure Analysis Technician,Form Energy,"Somerville, MA",Entry-Level,https://jobs.ashbyhq.com/formenergy/bb1f66df-a76a-4b9b-86a4-02ce70f6d803,"The role requires hands-on lab work involving battery cell teardowns, failure data collection, and sample preparation. Candidates should have experience with handheld power tools, machine tools, and wet lab environments, along with strong collaboration and documentation skills.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Battery Performance, Electrified Chemical Processes","Materials Science & Engineering, Chemical Engineering, Mechanical Engineering, Electrical Engineering, Environmental Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day iron-air battery technology.","Failure Analysis, Battery Technology, Materials Science, Sample Preparation, Lab Maintenance, Documentation, Handheld Power Tools, Machine Tools",,Ashby API,2026-02-14T19:19:29.506279
"Staff Manufacturing Engineer, Web Handling & Drying",Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/2fe771f1-41f3-48ac-9e85-36d1efe1526f,"The role requires experience in manufacturing engineering, specifically with calendering, drying, and slitting operations. The candidate should be able to lead equipment design, testing, and commissioning.","Electricity, Manufacturing, Energy/Climate","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Battery Performance, Electrified Chemical Processes","Mechanical Engineering, Chemical Engineering, Electrical Engineering, Materials Science & Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Manufacturing Engineering, Electrode Processing, Calendering, Drying, Slitting, Equipment Design, Factory Acceptance Testing, Site Acceptance Testing, Process Optimization, Process Engineering",,Ashby API,2026-02-14T19:19:29.506323
"Senior Global Supply Manager, System Components",Form Energy,"Berkeley, CA",Senior,https://jobs.ashbyhq.com/formenergy/b4b35c27-8074-4adb-a5d6-7893435c44ef,"The Senior Global Supply Manager will develop and execute sourcing strategies for battery system-level components, including electrical and mechanical parts. They will manage supplier relationships, negotiate contracts and pricing, and drive cost negotiations.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Supply Chain & Logistics, Business Administration & Management, Mechanical Engineering, Electrical Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Supply chain management, Sourcing strategy, Contract negotiation, Cost modeling, Supplier relationship management, Market research, Electrical components, Mechanical components",,Ashby API,2026-02-14T19:19:29.506358
"Senior Staff Mechanical Engineer, Structures Design",Form Energy,"Berkeley, CA",Senior,https://jobs.ashbyhq.com/formenergy/c7f0ea80-0b45-49a9-b1df-2aee811e9479,"The candidate must have experience in structural design, weatherproofing, and manufacturability of metal enclosures. They should be proficient in sheet metal, weldments, plastics, and sealing systems for mass production, and have experience working cross-functionally with teams on requirements definition, verification plans, and failure analysis.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Materials Science & Engineering, Electrical Engineering, Chemical Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Mechanical Design, Structural Design, Sheet Metal, Weldments, Plastics, Sealing Systems, Manufacturing, Problem Solving, Cross-Functional Collaboration, Failure Analysis",,Ashby API,2026-02-14T19:19:29.506404
Senior Project Engineer,Form Energy,"Berkeley, CA",Senior,https://jobs.ashbyhq.com/formenergy/f9310f61-6e9f-448a-909f-d0eada2078e9,"The candidate should have experience in project engineering, ideally with utility-scale projects. They should be comfortable communicating with internal and external stakeholders and should be capable of working both collaboratively and independently.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Electrical Engineering, Mechanical Engineering, Chemical Engineering, Energy Science & Engineering, Civil Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Project Engineering, Conceptual Design, Balance of Plant Design, Stakeholder Management, Interconnection, Permitting, RFP Creation, Single Line Diagrams",,Ashby API,2026-02-14T19:19:29.506442
Staff Project Engineer,Form Energy,"Berkeley, CA",Associate,https://jobs.ashbyhq.com/formenergy/08116d5c-9418-4971-b877-4869fc5a552a,"The candidate should have experience in project engineering, ideally with utility-scale projects, and be comfortable managing technical challenges related to design, engineering, procurement, and construction. Strong communication skills and the ability to work collaboratively with internal and external stakeholders are essential.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Electrical Engineering, Chemical Engineering, Mechanical Engineering, Energy Science & Engineering, Civil Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Project Engineering, Energy Storage, Utility-Scale Projects, EPC, Plant Design, Interconnection, Permitting, Single Line Diagrams, Conceptual Layouts, Stakeholder Management",,Ashby API,2026-02-14T19:19:29.506480
Senior Material Flow Engineer,Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/dddae40d-c705-4f10-be81-ed918e6a27fd,"The role requires experience in designing and implementing automated material flow systems (AGVs, AMRs, conveyors, ASRS) for high-volume manufacturing. Proficiency in Discrete Event Simulation (DES) tools like FlexSim is essential, along with strong program management skills, vendor selection, and budget oversight.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Distributed Storage,"Mechanical Engineering, Industrial & Systems Engineering, Electrical Engineering, Materials Science & Engineering, Chemical Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day battery technology.","Material Flow Design, Automation, AGV, AMR, ASRS, Conveyors, Robotics, Discrete Event Simulation, FlexSim, Program Management",,Ashby API,2026-02-14T19:19:29.506518
Manufacturing Engineer II,Form Energy,"Weirton, WV",Associate,https://jobs.ashbyhq.com/formenergy/4cda652b-83dc-4ead-90b3-6a387d18aff9,"The role requires defining process and equipment specifications for electrode assembly systems, including welding, epoxy dispense, and automated inspection. The candidate will partner with equipment suppliers, process engineers, and operations teams to oversee commissioning and drive continuous improvements.","Electricity, Manufacturing, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Chemical Engineering, Electrical Engineering, Materials Science & Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is revolutionizing energy storage with cost-effective, multi-day battery technology designed to keep the electric grid secure and reliable.","Manufacturing Engineering, Electrode Assembly, Welding, Epoxy Dispense, Automated Inspection, Equipment Specification, Process Engineering, Commissioning, Continuous Improvement",,Ashby API,2026-02-14T19:19:29.506564
Senior HRIS Analyst,Form Energy,"Somerville, MA",Senior,https://jobs.ashbyhq.com/formenergy/c7364ef1-1c69-48bc-bf9d-59f632b4027c,"The Senior HRIS Analyst is responsible for the support of People technology ecosystems including Oracle Cloud HCM. This role requires experience with process improvement, requirements gathering, and HR solutions support to optimize HR operations and streamline core processes.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Business Administration & Management, Information Systems & IT, Management Science & Engineering, Computer Science, Data Science & Machine Learning",,,yearly,"Form Energy is revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","HRIS, Oracle Cloud HCM, Process Optimization, Data Management, HR Technology, System Configuration, Requirements Gathering, Cross-functional Collaboration",,Ashby API,2026-02-14T19:19:29.506612
"Senior Electrical Engineer, Test Infrastructure",Form Energy,"Somerville, MA",Senior,https://jobs.ashbyhq.com/formenergy/992755b4-86b0-4845-b889-cd68fb87d6d6,"The role requires experience in designing and developing advanced controls and automation systems for battery test infrastructure. The candidate should have experience in electrical design, power distribution, sensor selection, harnessing, and data collection.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Electrical Engineering, Chemical Engineering, Mechanical Engineering, Materials Science & Engineering, Computer Science",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Electrical Design, Automation, PLC, HMI, Power Distribution, Sensor Selection, Data Acquisition, Controls Engineering",,Ashby API,2026-02-14T19:19:29.506648
"Manager, Quality Engineering",Form Energy,"Weirton, WV",Associate,https://jobs.ashbyhq.com/formenergy/193acd5d-3348-403e-939b-d6b9eccf094b,"The candidate must be a deep technical expert to develop and implement quality systems and processes for battery manufacturing, with experience in product optimization, cost reduction, and training. They will provide leadership and strategy with product optimization, cost down, as well as implement training of best practices throughout the company.","Electricity, Manufacturing, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Engineering: Chemical Engineering, Engineering: Mechanical Engineering, Engineering: Industrial & Systems Engineering, Materials Science & Engineering, Business: Management Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Quality Engineering, Battery Manufacturing, Product Optimization, Cost Reduction, Process Improvement, Root Cause Analysis, Statistical Process Control, Cross-Functional Collaboration, Leadership, Training",,Ashby API,2026-02-14T19:19:29.506685
"Staff Automation Engineer, Operations",Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/58edccef-1cac-4723-b444-bbfcb8851250,The candidate should have experience owning and improving semi-manual and automated manufacturing processes for modular products. They must be able to drive technical decisions to eliminate manufacturing bottlenecks and improve equipment reliability. They should also be able to transform advanced battery technology into an automated manufacturing reality.,Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Mechanical Engineering, Electrical Engineering, Chemical Engineering, Materials Science & Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Automation, Robotics, Manufacturing, Process Improvement, Technical Architecture, Equipment Reliability, Battery Technology, Precision Control, Root Cause Analysis, Data Analysis",,Ashby API,2026-02-14T19:19:29.506738
Senior Staff Technical Program Manager,Form Energy,"Berkeley, CA",Senior,https://jobs.ashbyhq.com/formenergy/e6b06ea4-6ac6-4e36-849b-be4b36c51013,"The candidate should have experience owning product delivery cycles, managing technical workstreams in areas such as systems architecture, electrical engineering, firmware, and software. Proven ability to identify and mitigate program risks and dependencies is expected.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Engineering Physics, Electrical Engineering, Mechanical Engineering, Computer Science, Chemical Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day battery technology designed to keep the electric grid secure and reliable.","Technical Program Management, Product Development, Risk Management, Systems Architecture, Electrical Engineering, Firmware, Software, Cross-Functional Team Leadership, Product Validation, Commercialization",,Ashby API,2026-02-14T19:19:29.506788
"Associate Manager, Prototype & Build Operations",Form Energy,"Berkeley, CA",Associate,https://jobs.ashbyhq.com/formenergy/b5defe20-0252-45d4-af84-a6c318acaf67,"The role requires experience in leading and developing technical teams, promoting customer service, and managing workflows related to prototyping, machining, assembly, and inventory. The ideal candidate will have strong communication skills and experience working with engineering and product development teams to meet schedule, quality, and cost objectives.","Electricity, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Engineering: Mechanical Engineering, Engineering: Industrial & Systems Engineering, Engineering: Materials Science & Engineering, Trades: Mechanical & Industrial Trades, Business: Management Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology using iron-air batteries.","Team Leadership, Mentoring, Workflow Management, Customer Service, Prototyping, Machining, Assembly, Inventory Management",,Ashby API,2026-02-14T19:19:29.506825
Engineering Test Technician,Form Energy,"Berkeley, CA",Associate,https://jobs.ashbyhq.com/formenergy/cea44457-73b7-458a-90af-c8244719173c,"The Engineering Test Technician role requires hands-on experience in troubleshooting electrical and mechanical systems, wiring industrial control circuitry, and executing test plans for battery systems. Candidates should have a technical background and the ability to work closely with engineers to support the development and operation of battery module prototypes.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Electrical Engineering, Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Energy Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Troubleshooting, Electrical systems, Mechanical systems, Wiring, Data acquisition, Test execution, Battery systems, Commissioning, Decommissioning, Root cause analysis",,Ashby API,2026-02-14T19:19:29.506867
"Supervisor, Test Operations",Form Energy,"Weirton, WV",Associate,https://jobs.ashbyhq.com/formenergy/16c2435b-9487-40bb-93c9-01d004a4af72,"The role requires experience in managing testing operations, preferably in a manufacturing environment, with a focus on quality and reliability. Strong leadership and communication skills are necessary to supervise a team, delegate resources, and drive process improvements.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Engineering: Chemical Engineering, Engineering: Electrical Engineering, Engineering: Mechanical Engineering, Engineering: Industrial & Systems Engineering, Materials Science & Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Battery Testing, Team Management, Quality Assurance, Process Improvement, Manufacturing, End-of-Line Testing, Resource Allocation, Communication, Leadership, Problem-solving",,Ashby API,2026-02-14T19:19:29.506910
Quality Technician ,Form Energy,"Weirton, WV",Associate,https://jobs.ashbyhq.com/formenergy/cf43f490-8c41-4b15-afd7-bab05bb5a301,"The Quality Technician role requires 3+ years of experience in heavy manufacturing assembly or quality inspection and experience using industry-standard metrology tools. The candidate should have an eye for quality, be a champion for safety, and provide feedback on quality procedures for continuous improvement.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing","Long-Duration Storage, Alternative Chemistries","Mechanical Engineering, Industrial & Systems Engineering, Materials Science & Engineering, Engineering Physics, Electrical Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Quality Control, Quality Inspection, Metrology, Manufacturing Assembly, Continuous Improvement, Product Control Plans, Quality Management Systems, Root Cause Analysis, Problem Solving",,Ashby API,2026-02-14T19:19:29.506980
Staff Reliability Engineer,Form Energy,"Berkeley, CA",Senior,https://jobs.ashbyhq.com/formenergy/a212e3c3-e6e4-4c0f-b77a-7b662e1c0846,"The candidate needs a degree in Mechanical Engineering, Chemical Engineering, Reliability Engineering or related field with 7+ years of experience. Experience in Design for Reliability (DfR) for critical mechanical subsystems that support iron-air battery operation is also required.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Long-Duration Storage,"Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Electrical Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology using iron-air batteries.","Reliability Engineering, Design for Reliability (DfR), Failure Mode and Effects Analysis (DFMEA), Experimental Design, Root Cause Analysis, Mechanical Engineering, Chemical Engineering, Battery Technology",,Ashby API,2026-02-14T19:19:29.507054
Facilities Maintenance Technician (Night Shift),Form Energy,"Weirton, WV",Entry-Level,https://jobs.ashbyhq.com/formenergy/f41ed809-f1ac-4d72-8be2-f610ab5bd771,"The Facilities Maintenance Technician will support the manufacturing factory facilities' utility, equipment, control systems, and building operations. The ideal candidate has a ""can-do"" attitude, strong problem-solving skills, and hands-on experience with computerized maintenance management software programs in manufacturing operations.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Long-Duration Storage,"Mechanical Engineering, Electrical Engineering, Industrial & Systems Engineering, Engineering Physics, Construction Management & Trades",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Facilities Maintenance, Equipment Maintenance, Control Systems, Problem Solving, Computerized Maintenance Management Software, Manufacturing Operations, Utility Systems",,Ashby API,2026-02-14T19:19:29.507090
"Senior ElectroMechanical Engineer, Test Infrastructure ",Form Energy,"Somerville, MA",Senior,https://jobs.ashbyhq.com/formenergy/7f0d4ebf-50df-4ffd-a63a-c1ddd02a8696,"The role requires experience in designing and developing advanced controls and automation systems for battery test infrastructure, focusing on cell testing. Proficiency in electrical design of battery test systems, including power distribution, sensor selection, harnessing, and data collection is needed.","Electricity, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Electrical Engineering, Mechanical Engineering, Chemical Engineering, Materials Science & Engineering, Computer Science",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day battery technology.","Automation, Control Systems, Electrical Design, Power Distribution, Sensor Integration, Data Collection, PLC, HMI, Battery Testing, System Integration",,Ashby API,2026-02-14T19:19:29.507139
"Staff Global Supply Manager, Battery Materials",Form Energy,"Somerville, MA",Senior,https://jobs.ashbyhq.com/formenergy/a6bfb9da-7380-4e9f-914c-29a90ef4146a,"The role requires experience in global supply chain strategy, specifically for battery raw materials. The candidate should have business acumen, technical depth, and experience across raw materials categories.",Electricity,Energy Storage & Demand Flexibility,Long-Duration Storage,"Supply Chain & Logistics, Business Administration & Management, Chemical Engineering, Materials Science & Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","Supply Chain Management, Sourcing, Raw Materials, Battery Materials, Negotiation, Stakeholder Management, Market Analysis",,Ashby API,2026-02-14T19:19:29.507176
"Senior Staff Technical Program Manager, Manufacturing",Form Energy,"Weirton, WV",Senior,https://jobs.ashbyhq.com/formenergy/c4375253-79b9-4f16-9757-73e8bca1e461,"The candidate should have experience in New Product Introduction (NPI) and manufacturing, with a focus on factory operations and cross-functional communication. They should be able to define and drive strategic NPI plans and develop key factory operations tools and metrics.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Long-Duration Storage,"Engineering: Mechanical Engineering, Engineering: Industrial & Systems Engineering, Engineering: Chemical Engineering, Business: Management Science & Engineering, Business: Supply Chain & Logistics",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology designed to keep the electric grid secure and reliable.","New Product Introduction (NPI), Manufacturing Operations, Cross-Functional Communication, Strategic Planning, Data Analysis, Process Improvement, Project Management",,Ashby API,2026-02-14T19:19:29.507216
Equipment Maintenance Technician (Night Shift),Form Energy,"Weirton, WV",Entry-Level,https://jobs.ashbyhq.com/formenergy/223e7839-20eb-4d11-8698-4b5f53a39d5f,"The Equipment Maintenance Technician will be responsible for troubleshooting, repairing, and maintaining manufacturing equipment, ensuring smooth operations and a safe work environment. They should have experience in mechanical, electrical, and control systems maintenance, as well as the ability to develop and track preventative maintenance schedules.","Electricity, Manufacturing","Energy Storage & Demand Flexibility, Cross-Cutting Manufacturing",Long-Duration Storage,"Mechanical Engineering, Electrical Engineering, Industrial & Systems Engineering, Materials Science & Engineering, Engineering Physics",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology.","Troubleshooting, Equipment Repair, Root Cause Analysis, Preventative Maintenance, Electrical Systems, Mechanical Systems, Control Systems, Manufacturing Equipment, Installation, Commissioning",,Ashby API,2026-02-14T19:19:29.507253
Process Engineering Technician,Form Energy,"Weirton, WV",Entry-Level,https://jobs.ashbyhq.com/formenergy/0424f13f-d2ec-4649-9bf4-15ff0cad6b9e,"The role requires monitoring and maintaining production processes, conducting audits, and troubleshooting equipment issues. It involves contributing to SOPs and adhering to safety protocols in a manufacturing environment.","Electricity, Manufacturing, Energy Storage & Demand Flexibility",Energy Storage & Demand Flexibility,Long-Duration Storage,"Chemical Engineering, Mechanical Engineering, Electrical Engineering, Materials Science & Engineering, Industrial & Systems Engineering",,,yearly,"Form Energy is an American manufacturing and energy technology company revolutionizing energy storage with cost-effective, multi-day technology, specifically iron-air batteries.","Process Engineering, Data Analysis, Equipment Troubleshooting, SOP Development, Quality Control, Manufacturing Processes, Data Collection, Root Cause Analysis, Process Improvement, Technical Documentation",,Ashby API,2026-02-14T19:19:29.507296
